owner,state,county,named_account,match_reason,name_overlap,score,n_opps,value_total,match_confidence
City of Santa Barbara,CA,Santa Barbara,CITY OF SANTA BARBARA,place + governance match (100% overlap),1.0,52.7,5,10395000.0,confident
Nevada Irrigation District,CA,Nevada,NEVADA IRRIGATION DISTRICT,place + governance match (100% overlap),1.0,52.1,8,140038000.0,confident
City of San Jose,CA,Santa Clara,SAN JOSE WATER; SAN JOSE WATER CO,name similarity — one side has no governance signal,0.5,50.9,3,7449000.0,similar name (assumed blocked)
Goleta Water District,CA,Santa Barbara,GOLETA WATER DISTRICT,place + governance match (100% overlap),1.0,49.6,4,5319851.0,confident
City of Puyallup,WA,Pierce,CITY OF PUYALLUP,place + governance match (100% overlap),1.0,47.3,3,650000.0,confident
City of Riverside,CA,Riverside,CITY OF RIVERSIDE,place + governance match (100% overlap),1.0,47.2,4,7100000.0,confident
City of Fresno,CA,Fresno,CITY OF FRESNO,place + governance match (100% overlap),1.0,47.0,3,27093300.0,confident
City of Seattle,WA,King,SEATTLE CITY LIGHT; SEATTLE CITY LIGHT DEPT; SEATTLE PUBLIC UTILITIES,name similarity — electric utility vs municipal/water entity,0.67,47.0,3,97848256.0,similar name (assumed blocked)
Calleguas Municipal Water District,CA,Ventura,CALLEGUAS MUNICIPAL WATER DIST.,place + governance match (100% overlap),1.0,45.5,4,3242000.0,confident
Town of Cave Creek,AZ,Maricopa,TOWN OF CAVE CREEK,place + governance match (100% overlap),1.0,45.1,4,1065000.0,confident
City of Santa Ana,CA,Orange,CITY OF SANTA ANA,place + governance match (100% overlap),1.0,44.0,2,22000000.0,confident
Truckee-Donner Public Utility District,CA,Nevada,TRUCKEE DONNER PUBLIC UTILITY DISTR,place + governance match (100% overlap),1.0,43.3,3,4669219.0,confident
Goleta Sanitary District,CA,Santa Barbara,GOLETA WATER DISTRICT,name similarity — water district vs sanitation district,0.5,42.2,4,1084019.0,similar name (assumed blocked)
Town of Queen Creek,AZ,Maricopa,TOWN OF QUEEN CREEK,place + governance match (100% overlap),1.0,41.0,2,172000000.0,confident
City of Modesto,CA,Stanislaus,CITY OF MODESTO,place + governance match (100% overlap),1.0,41.0,2,90000000.0,confident
City of Mesa,AZ,Maricopa,CITY OF MESA,place + governance match (100% overlap),1.0,39.7,4,362046.0,confident
County of Douglas,NV,Douglas,CITY OF DOUGLAS,name similarity — governance mismatch (county vs muni),0.33,35.8,2,875000.0,similar name (assumed blocked)
City of Portland,OR,Multnomah,CITY OF PORTLAND,place + governance match (100% overlap),1.0,35.4,3,2702818.0,confident
South Coast Water District,CA,Orange,SOUTH COAST WATER DISTRICT,place + governance match (100% overlap),1.0,34.2,5,600000.0,confident
City of Cerritos,CA,Los Angeles,CITY OF CERRITOS,place + governance match (100% overlap),1.0,34.2,3,625000.0,confident
City of Tracy,CA,San Joaquin,CITY OF TRACY,place + governance match (100% overlap),1.0,33.7,3,1849000.0,confident
County of Santa Barbara,CA,Santa Barbara,CITY OF SANTA BARBARA,name similarity — governance mismatch (county vs muni),0.5,33.6,2,9780000.0,similar name (assumed blocked)
City of Palo Alto,CA,Santa Clara,CITY OF PALO ALTO,place + governance match (100% overlap),1.0,33.0,5,28902094.0,confident
County of Clark,NV,Clark,CLARK COUNTY PUD; CLARK COUNTY WATER RECLAMATION; CLARK PUBLIC UTILITIES,name similarity — several agencies share this place name; name overlap only 50%,0.5,32.0,1,22900000.0,similar name (assumed blocked)
City of Douglas,AZ,Cochise,CITY OF DOUGLAS,place + governance match (100% overlap),1.0,31.8,3,419756.0,confident
City of Long Beach,WA,Pacific,CITY OF LONG BEACH WATER DIST; LONG BEACH WATER DEPARTMENT,name similarity — several agencies share this place name; name overlap only 60%,0.6,31.5,2,1744800.0,similar name (assumed blocked)
County of Clark,WA,Clark,CLARK COUNTY PUD; CLARK COUNTY WATER RECLAMATION; CLARK PUBLIC UTILITIES,name similarity — several agencies share this place name; name overlap only 50%,0.5,30.9,3,465000.0,similar name (assumed blocked)
Marin Municipal Water District,CA,Madera,MARIN MUNICIPAL WATER DISTRICT,place + governance match (100% overlap),1.0,29.4,3,1200000.0,confident
Central Arizona Project,AZ,Maricopa,CENTRAL ARIZONA PROJECT,name similarity — one side has no governance signal,1.0,29.0,1,19900000.0,similar name (assumed blocked)
City of Los Angeles,CA,Los Angeles,CITY OF LOS ANGELES,place + governance match (100% overlap),1.0,29.0,1,329000000.0,confident
Orange Co Sanitation District,CA,Unspecified,ORANGE COUNTY SANITATION,place + governance match (75% overlap),0.75,29.0,1,89100000.0,confident
