crwa_org,outcome,detail
Gasquet Community Services District,no confident match - own pin,"parsed at Gasquet, CA 95543"
Gateway Restaurant and Lodge,no confident match - own pin,"parsed at Three Rivers, CA 93271"
Georgetown Divide Public Utility District,matched -> Georgetown Divide Public Utility District (CA),"place + governance match (100% overlap), 100% overlap"
Gerber Las Flores Community Services District,no confident match - own pin,"parsed at Gerber, CA 96035"
Gill Creek Mutual Water Company,no confident match - own pin,"parsed at Geyserville, CA 95441"
Gillette Mutual Water Company,no confident match - own pin,"parsed at Los Gatos, CA 95033"
Girl Scouts of San Diego and Imperial Counties,no confident match - own pin,"parsed at Julian, CA 92036"
Glen Martin Mutual Water Company,no confident match - own pin,"parsed at Angelus Oaks, CA 92305"
Gleneagles Estates,no confident match - own pin,"parsed at Solvang, CA 93463"
Glennville Mutual Water Company,no confident match - own pin,"parsed at Glennville, CA 93226"
Gold Mountain Community Services District,no confident match - own pin,"parsed at Clio, CA 96106"
Golden Hills Community Services District,matched -> Golden Hills Community Service District (CA),"place + governance match (100% overlap), 100% overlap"
Golden Valley Municipal Water District,no confident match - own pin,"parsed at Gorman, CA 93243"
Goleta Water District,matched -> Goleta Water District (CA),"place + governance match (100% overlap), 100% overlap"
GORDON ACRES (STEWART WC),no confident match - own pin,"parsed at Lucerne Valley, CA 92356"
Goshen CSD,no confident match - own pin,"parsed at Goshen, CA 93227"
Graeagle Meadows Homeowners’ Association,no confident match - own pin,"parsed at Graeagle, CA 96103"
Graeagle Water Company,no confident match - own pin,"parsed at Graeagle, CA 96103"
Gran Mutual Water Company,no confident match - own pin,"parsed at Chico, CA 95926"
Green Mountain Water Co,no confident match - own pin,"parsed at Morgan Hill, CA 95037"
Green Valley County Water District,no confident match - own pin,"parsed at Green Valley, CA 91390"
Green Valley Mutual Water Company,no confident match - own pin,"parsed at Green Vally Lake, CA 92341"
Greenfield County Water District,no confident match - own pin,"parsed at Bakersfield, CA 93307"
Greenhorn Creek CSD,no confident match - own pin,"parsed at Quincy, CA 95971"
GRENADA SANITARY DISTRICT,no confident match - own pin,"parsed at Grenada, CA 96038"
Grizzly Flats Community Services District,matched -> Grizzly Flats Community Services District (CA),"place + governance match (100% overlap), 100% overlap"
Grizzly Lake CSD,no confident match - own pin,"parsed at Portola, CA 96122"
Grizzly Ranch CSD,no confident match - own pin,"parsed at Portola, CA 96122"
Gualala Community Services District,no confident match - own pin,"parsed at Gualala, CA 95445"
Guatay Mutual Benefit Corporation,no confident match - own pin,"parsed at Guatay, CA 91931"
H and J Water Company,no confident match - own pin,"parsed at Julian, CA 92036"
"H20, Inc.",no confident match - own pin,"parsed at San Luis Obispo, CA 93406"
Hager Mutual Water Company,no confident match - own pin,"parsed at Buellton, CA 93427"
Hallwood Irrigation Company,no confident match - own pin,"parsed at Marysville, CA 95901"
Hamilton Branch Community Services District,no confident match - own pin,"parsed at Lake Almanor, CA 96137"
Hamilton City Community Services District,no confident match - own pin,"parsed at Hamilton City, CA 95951"
Hart Creek Estates Mutual Water Company,no confident match - own pin,"parsed at Bakersfield, CA 93304"
Hartley Mutual Water Company,no confident match - own pin,"parsed at Forest Ranch, CA 95942"
Hat Creek Highlands Mutual Water Company,no confident match - own pin,"parsed at Bella Vista, CA 96071"
Heather Glen Community Service Dist.,no confident match - own pin,"parsed at Applegate, CA 95703"
Heber Public Utility District,matched -> Heber Public Utility District (CA),"place + governance match (100% overlap), 100% overlap"
Heritage Ranch Community Services District,matched -> Heritage Ranch Community Services District (CA),"place + governance match (100% overlap), 100% overlap"
Herlong Public Utility District,no confident match - own pin,"parsed at Herlong, CA 96113"
Hermitage Mutual Water Company,no confident match - own pin,"parsed at Ojai, CA 93023"
Hetch Hetchy Water and Power – Moccasin,no confident match - own pin,"parsed at Moccasin, CA 95347"
HH and J Knoll Enterprises,no confident match - own pin,"parsed at Ludlow, CA 92338"
Hi Desert MWC,no confident match - own pin,"parsed at Barstow, CA 92311"
Hi-Desert Water District,matched -> Hi-Desert Water District (CA),"place + governance match (100% overlap), 100% overlap"
Hidden Valley Lake Community Services District,matched -> Hidden Valley Lake Community Services District (CA),"place + governance match (100% overlap), 100% overlap"
High Desert State Prison,no confident match - own pin,"parsed at Susanville, CA 96127"
High Valleys Water District,no confident match - own pin,"parsed at Banning, CA 92220"
Highlands Water Company,no confident match - own pin,"parsed at Clearlake, CA 95422"
Hills Ranch Mutual Water Company,no confident match - own pin,"parsed at Mendocino, CA 95460"
Hilmar County Water District,no confident match - own pin,"parsed at Hilmar, CA 95324"
Holland Heights Mutual Water Company,no confident match - own pin,"parsed at Santa Rosa, CA 95405"
Hoopa Valley Public Utilities District,no confident match - own pin,"parsed at Hoopa, CA 95546"
Hornbrook Community Services District,no confident match - own pin,"parsed at Hornbrook, CA 96044"
Howell Mountain Mutual Water Company,no confident match - own pin,"parsed at Angwin, CA 94508"
Huckleberry Mutual Water Company,no confident match - own pin,"parsed at Monte Rio, CA 95462"
"Hughson Nut, Inc.",no confident match - own pin,"parsed at Hughson, CA 95326"
Humboldt Bay Municipal Water District,no confident match - own pin,"parsed at Eureka, CA 95502"
Hume Lake Christian Camps,no confident match - own pin,"parsed at Hume, CA 93628"
Idyllwild Water District,no confident match - own pin,"parsed at Idyllwild, CA 92549"
Improvement District #1,no confident match - own pin,"parsed at Three Rivers, CA 93271"
Indian Creek Westridge Community Services District,no confident match - own pin,"parsed at Bishop, CA 93515"
Indian Valley Community Services District,no confident match - own pin,"parsed at Crescent Mills, CA 95934"
Inverness Public Utility District,no confident match - own pin,"parsed at Inverness, CA 94937"
Inyo County Water Services,no confident match - own pin,"parsed at Independence, CA 93526"
Inyokern Community Services District,no confident match - own pin,"parsed at Inyokern, CA 93527"
Irish Beach Water District,no confident match - own pin,"parsed at Manchester, CA 95459"
Ivanhoe Public Utility District,no confident match - own pin,"parsed at Ivanhoe, CA 93235"
J.G. Boswell Company,no confident match - own pin,"parsed at Corcoran, CA 93212"
Jackson Rancheria Casino and Hotel,no confident match - own pin,"parsed at Jackson, CA 95642"
Jackson Rancheria of Mi-Wuk Indians,no confident match - own pin,"parsed at Jackson, CA 95641"
Jacumba Community Services District,no confident match - own pin,"parsed at Jacumba, CA 91934"
Jago Bay Mutual Water Company and Home Owners Association,no confident match - own pin,"parsed at San Francisco, CA 94102"
Jamestown Sanitary District,no confident match - own pin,"parsed at Jamestown, CA 95327"
Jarvis Mutual Water Company,no confident match - own pin,"parsed at Santa Cruz, CA 95065"
JH Ranch/Second Wind,no confident match - own pin,"parsed at Etna, CA 96027"
Johnsville PUD,no confident match - own pin,"parsed at Blairsden, CA 96103"
Joshua Basin Water District,matched -> Joshua Basin Water District (CA),"place + governance match (100% overlap), 100% overlap"
"Jubilee Mutual Water Company, Inc.",no confident match - own pin,"parsed at Lucerne Valley, CA 92356"
Julian Community Services District,no confident match - own pin,"parsed at Julian, CA 92036"
Juliana Mutual Water Company,no confident match - own pin,"parsed at Napa, CA 94559"
Junction City School,no confident match - own pin,"parsed at Junction City, CA 96048"
Juniper Riviera CWD,no confident match - own pin,"parsed at Lucerne Valley, CA 92356"
Kern Valley Mutual Water Company,no confident match - own pin,"parsed at Lake Isabella, CA 93240"
Kettleman City Community Services District,no confident match - own pin,"parsed at Kettleman City, CA 93239"
Key Mutual Water Company,no confident match - own pin,"parsed at San Clemente, CA 92673"
Keyes Community Services District,no confident match - own pin,"parsed at Keyes, CA 95328"
Kingvale Property Owner and Water Users Inc.,no confident match - own pin,"parsed at Truckee, CA 96161"
Kinneloa Irrigation Dist.,no confident match - own pin,"parsed at Pasadena, CA 91107"
Knights Ferry Community Services District,no confident match - own pin,"parsed at Knights Ferry, CA 95361"
Knights Landing Community Service District,no confident match - own pin,"parsed at Knights Landing, CA 95645"
Konocti County Water District,no confident match - own pin,"parsed at Clearlake, CA 95422"
Kyburz Mutual Water Company,no confident match - own pin,"parsed at Kyburz, CA 95720"
La Canada Irrigation District,no confident match - own pin,"parsed at La Canada, CA 91011"
La Cumbre Mutual Water Company,no confident match - own pin,"parsed at Santa Barbara, CA 93110"
La Porte Water District,no confident match - own pin,"parsed at Clipper Mills, CA 95930"
Laguna Mountain Mutual Water Company,no confident match - own pin,"parsed at Mount Laguna, CA 91948"
Laguna Negra Mutual Water Company,no confident match - own pin,"parsed at Nipomo, CA 93444"
Lake Almanor Country Club Mutual Water (LACC),no confident match - own pin,"parsed at Lake Almanor, CA 96137"
Lake Alpine Water Company,no confident match - own pin,"parsed at Bear Valley, CA 95223"
"Lake California Property Owners Assoc, Inc.",no confident match - own pin,"parsed at Cottonwood, CA 96022"
Lake County Special Districts,no confident match - own pin,"parsed at Lakeport, CA 95453"
Lake Cuyamaca Water District,no confident match - own pin,"parsed at Julian, CA 92036"
Lake Don Pedro Community Services District,county mismatch - own pin,"name matched 'Lake Don Pedro Community Services District' but county disagrees (agency: Mariposa, CRWA address county: STANISLAUS) - kept as standalone pin"
Lake Elementary School District,no confident match - own pin,"parsed at Orland, CA 95963"
Lake Elizabeth Mutual Water Company,no confident match - own pin,"parsed at Elizabeth Lake, CA 93532"
Lake Forest Mutual Water Company,no confident match - own pin,"parsed at Susanville, CA 96130"
Lake Francis Mutual Water Company,no confident match - own pin,"parsed at Dobbins, CA 95935"
Lake Morena Views Mutual Water Company,no confident match - own pin,"parsed at Campo, CA 91906"
Lake of the Woods Mutual Water Company,no confident match - own pin,"parsed at Frazier Park, CA 93225"
"Lake Pillsbury Properties Water Company, Inc.",no confident match - own pin,"parsed at Potter Valley, CA 95469"
Lake Shastina Community Services District,no confident match - own pin,"parsed at Weed, CA 96094"
Lake Siskiyou Mutual Water Company,no confident match - own pin,"parsed at Mt. Shasta, CA 96067"
Lakeshore Heights Mutual Water Company,no confident match - own pin,"parsed at Lakehead, CA 96051"
Lakeview Ranchos Mutual Water Company,no confident match - own pin,"parsed at Weldon, CA 93283"
Lancaster MHP,no confident match - own pin,"parsed at Lancaster, CA 93535"
Landale Mutual Water Company,no confident match - own pin,"parsed at Lancaster, CA 93539"
"Landscape & Tree Company, Inc.",no confident match - own pin,"parsed at Roseville, CA 95747"
Las Cumbres Mutual Water Company,no confident match - own pin,"parsed at Los Gatos, CA 95033"
Las Lomas Mutual Water Company,no confident match - own pin,"parsed at Somis, CA 93066"
Las Positas MWC,no confident match - own pin,"parsed at Santa Barbara, CA 93105"
Lassen Community College District,no confident match - own pin,"parsed at Susanville, CA 96130"
Lassen County Office of Education,no confident match - own pin,"parsed at Susanville, CA 96130"
Lassen County Waterworks District #1,no confident match - own pin,"parsed at Bieber, CA 96009"
Laton Community Services District,no confident match - own pin,"parsed at Laton, CA 93242"
Lava Beds National Monument,no confident match - own pin,"parsed at Tulelake, CA 96134"
Lawndale Mutual Water Company,no confident match - own pin,"parsed at Kenwood, CA 95452"
Lawson’s Landing,no confident match - own pin,"parsed at Dillon Beach, CA 94929"
Lazy H Mutual Water Company,no confident match - own pin,"parsed at Pauma Valley, CA 92061"
Le Grand Community Services District,no confident match - own pin,"parsed at Le Grand, CA 95333"
Leavitt Lake Community Services District,no confident match - own pin,"parsed at Susanville, CA 96130"
Lebec County Water District,no confident match - own pin,"parsed at Lebec, CA 93243"
Lee Vining PUD,no confident match - own pin,"parsed at Lee Vining, CA 93541"
Leggett Valley Unified School District,no confident match - own pin,"parsed at Leggett, CA 95585"
Leisure Acres Mutual Water Company,no confident match - own pin,"parsed at North Fork, CA 93643"
Leisure Pines Mutual Water Company,no confident match - own pin,"parsed at Twain Harte, CA 95383"
Leland Meadow Water District,no confident match - own pin,"parsed at Milpitas, CA 95036"
Lemon Cove Sanitary District,no confident match - own pin,"parsed at Lemon Cove, CA 93244"
Lemoore Canal & Irrigation Company,no confident match - own pin,"parsed at Lemoore, CA 93245"
Liberty Park Water Association,no confident match - own pin,"parsed at Huntington Beach, CA 92647"
Liberty Water Association,no confident match - own pin,"parsed at Rutherford, CA 94573"
Lichau Hylands Mutual Water Company,no confident match - own pin,"parsed at Penngrove, CA 94951"
"Lilli Valley Water Company, Inc.",no confident match - own pin,"parsed at West Point, CA 95255"
Lily of the Valley Mobile Village,no confident match - own pin,"parsed at Santa Clarita, CA 91390"
Limoneira Company,no confident match - own pin,"parsed at Santa Paula, CA 93060"
Lincoln Avenue Water Company,no confident match - own pin,"parsed at Altadena, CA 91001"
Lincoln Chan Home Ranch,no confident match - own pin,"parsed at Courtland, CA 95615"
Linda County Water District,no confident match - own pin,"parsed at Marysville, CA 95901"
Linden County Water District,no confident match - own pin,"parsed at Linden, CA 95236"
Little Baldy Water Company,no confident match - own pin,"parsed at Llano, CA 93544"
"Little Bear Water Company, Inc.",no confident match - own pin,"parsed at King City, CA 93930"
Littlerock Creek Irrigation District,no confident match - own pin,"parsed at Littlerock, CA 93543"
Llano Mutual Water Company,no confident match - own pin,"parsed at Llano, CA 93544"
Loch Haven Mutual Water Company,no confident match - own pin,"parsed at Petaluma, CA 94952"
Loch Lomond Mutual Water Company,no confident match - own pin,"parsed at Cobb, CA 95426"
Lockeford Community Services District,no confident match - own pin,"parsed at Lockeford, CA 95237"
Lockheed Martin Aeronautics Company,no confident match - own pin,"parsed at Palmdale, CA 93599"
Loma Linda University,no confident match - own pin,"parsed at Loma Linda, CA 92350"
Loma Mar Mutual Water and Improvement Company,no confident match - own pin,"parsed at Loma Mar, CA 94021"
Loma Prieta Resource Conservation District,no confident match - own pin,"parsed at Gilroy, CA 95020"
Long Canyon Water Company,no confident match - own pin,"parsed at Bakersfield, CA 93309"
Los Alamos Community Services District,matched -> Los Alamos Community Services District (CA),"place + governance match (100% overlap), 100% overlap"
Los Molinos Mutual Water Company,no confident match - own pin,"parsed at Los Molinos, CA 96055"
Los Ranchos De Uvas Water Co. Inc.,no confident match - own pin,"parsed at Morgan Hill, CA 95038"
Los Tules Mutual Water Company,no confident match - own pin,"parsed at Warner Springs, CA 92086"
Lost Hills Utility District,no confident match - own pin,"parsed at Lost Hills, CA 93249"
Lucerne Valley Mutual Water Company,no confident match - own pin,"parsed at Lucerne Valley, CA 92356"
Lukins Brothers Water Company Inc.,no confident match - own pin,"parsed at South Lake Tahoe, CA 96150"
Lundy MWC,no confident match - own pin,"parsed at Lee Vining, CA 93541"
Lupine Ridge MWC,no confident match - own pin,"parsed at Glen Ellen, CA 95442"
Madera Unified School District,no confident match - own pin,"parsed at Madera, CA 93637"
Madera Valley Water Company,no confident match - own pin,"parsed at Madera, CA 93638"
Madison Community Service District,no confident match - own pin,"parsed at Madison, CA 95653"
Maher Mutual Water Company,no confident match - own pin,"parsed at Bakersfield, CA 93312"
Majestic Pines Community Services District,no confident match - own pin,"parsed at Julian, CA 92036"
Malaga County Water District,matched -> Malaga County Water District (CA),"place + governance match (100% overlap), 100% overlap"
Mammoth Community Water District,matched -> Mammoth Community Water District (CA),"place + governance match (100% overlap), 100% overlap"
Manila Community Services District,no confident match - own pin,"parsed at Arcata, CA 95521"
Mariana Ranchos County Water District,no confident match - own pin,"parsed at Apple Valley, CA 92308"
Marin French Cheese Company,no confident match - own pin,"parsed at Petaluma, CA 94952"
Mariposa County Unified School District,no confident match - own pin,"parsed at Mariposa, CA 95338"
Mariposa Pines MWC,no confident match - own pin,"parsed at Mariposa, CA 95338"
Mariposa Public Utility District,no confident match - own pin,"parsed at Mariposa, CA 95338"
Mark West Acres Water Association,no confident match - own pin,"parsed at Santa Rosa, CA 95404"
Markleeville Water Company,no confident match - own pin,"parsed at Markleeville, CA 96120"
Markley Cove Resort,no confident match - own pin,"parsed at Winters, CA 95694"
Marygold Mutual Water Company,no confident match - own pin,"parsed at Bloomington, CA 92316"
Massini MWC,no confident match - own pin,"parsed at Santa Rosa, CA 95404"
Maxwell Public Utility District,no confident match - own pin,"parsed at Maxwell, CA 95955"
Maywood Mutual Water Company #1,no confident match - own pin,"parsed at Huntington Park, CA 90255"
Maywood Mutual Water Company #2,no confident match - own pin,"parsed at Maywood, CA 90270"
Maywood Mutual Water Company #3,no confident match - own pin,"parsed at Maywood, CA 90270"
McCabe Union Elementary District,no confident match - own pin,"parsed at El Centro, CA 92243"
McCloud Community Services District,no confident match - own pin,"parsed at McCloud, CA 96057"
"McClure Boat Club, Inc.",no confident match - own pin,"parsed at Snelling, CA 95369"
McMahon Road MWC,no confident match - own pin,"parsed at Hollister, CA 95024"
MCSI Water Systems Management,no confident match - own pin,"parsed at Carmel Valley, CA 93924"
Meadow Estates Mutual Water Company,no confident match - own pin,"parsed at Boonville, CA 95415"
"Meadow Lakes Club, Inc.",no confident match - own pin,"parsed at Auberry, CA 93602"
Meadow Vista CWD,no confident match - own pin,"parsed at Meadow Vista, CA 95722"
Meadowcreek Mutual Water Company,no confident match - own pin,"parsed at Bishop, CA 93514"
Meeks and Daley Water Company,no confident match - own pin,"parsed at Lake Elsinore, CA 92530"
"Melody Oaks Mutual Irrigation Company, Inc.",no confident match - own pin,"parsed at Smartsville, CA 95977"
Melody Woods Mutual Water Company,no confident match - own pin,"parsed at Los Gatos, CA 95033"
Mendocino County Waterworks District #2,no confident match - own pin,"parsed at Gualala, CA 95445"
Mettler County Water District,no confident match - own pin,"parsed at Buttonwillow, CA 93206"
Mettler Valley MWC,no confident match - own pin,"parsed at Lancaster, CA 93536"
MHC NAC L.P. – Lake Minden,outside territory (NY),"Equity Lifestyle c/o Business Licenses PO Box 8000, Monsey, NY 10952"
MHC NAC L.P. – Lake Minden,no confident match - own pin,"parsed at Monsey, NY 10952"
"MHC TT, L.P. – Lake of the Springs",outside territory (NY),"Equity Lifestyle c/o Business Licenses PO Box 8000, Monsey, NY 10952"
"MHC TT, L.P. – Lake of the Springs",no confident match - own pin,"parsed at Monsey, NY 10952"
"MHC TT, L.P. – Morgan Hill",outside territory (NY),"c/o Business Licenses PO Box 8000, Monsey, NY 10952"
"MHC TT, L.P. – Morgan Hill",no confident match - own pin,"parsed at Monsey, NY 10952"
Mi-Wuk Village Mutual Water Company,no confident match - own pin,"parsed at Mi Wuk Village, CA 95346"
Michele Mutual Water Company,no confident match - own pin,"parsed at Fulton, CA 95439"
Midpeninsula Regional Open Space District,no confident match - own pin,"parsed at Los Altos, CA 94022"
Midway City MWC,no confident match - own pin,"parsed at Westminster, CA 92685"
Mil Potrero Mutual Water Company,no confident match - own pin,"parsed at Frazier Park, CA 93222"
Milky Way Water Company,no confident match - own pin,"parsed at Aptos, CA 95001"
Mill Creek Mutual Service Company,no confident match - own pin,"parsed at Mentone, CA 92359"
Milton Road Water Company,no confident match - own pin,"parsed at Napa, CA 94559"
Mineral County Water District,no confident match - own pin,"parsed at Mineral, CA 96063"
Mission Highlands Mutual Water Company,no confident match - own pin,"parsed at Sonoma, CA 95476"
Mission Hills Community Services District,county mismatch - own pin,"name matched 'Mission Hills Community Services District' but county disagrees (agency: Los Angeles, CRWA address county: SANTA BARBARA) - kept as standalone pin"
Mitchell’s Avenue E Park,no confident match - own pin,"parsed at Burbank, CA 91504"
Modesto Irrigation District,matched -> Modesto Irrigation District (CA),"place + governance match (100% overlap), 100% overlap"
Modoc County Environmental Health,no confident match - own pin,"parsed at Alturas, CA 96101"
Modoc Resource Conservation District,no confident match - own pin,"parsed at Alturas, CA 96101"
Mojave Public Utility District,no confident match - own pin,"parsed at Mojave, CA 93501"
Mojave Water Agency,matched -> Mojave Water Agency (CA),"place + governance match (100% overlap), 100% overlap"
Mokelumne Hill Sanitary District,no confident match - own pin,"parsed at Mokelumne Hill, CA 95245"
Montara Water and Sanitary District,matched -> Montara Sanitary District (CA),"place + governance match (75% overlap), 75% overlap"
Monte Shasta Mutual Water Company,no confident match - own pin,"parsed at Mt. Shasta, CA 96067"
Monterey Bay Academy,no confident match - own pin,"parsed at La Selva Beach, CA 95076"
Monterey County Parks – Lake San Antonio,no confident match - own pin,"parsed at Paso Robles, CA 93426"
MORAGA HEIGHTS MUTUAL WATER,no confident match - own pin,"parsed at Canyon, CA 94516"
Moro Mutual Water Company,no confident match - own pin,"parsed at Salinas, CA 93907"
Morongo Band of Mission Indians,no confident match - own pin,"parsed at Banning, CA 92220"
Mount Konocti Mutual Water Company,no confident match - own pin,"parsed at Kelseyville, CA 95451"
Mount Laguna Improvement Association,no confident match - own pin,"parsed at Mount Laguna, CA 91948"
Mount Pleasant Water Users Association,no confident match - own pin,"parsed at San Jose, CA 95148"
"Mount Ralston Property Associates, Inc.",no confident match - own pin,"parsed at Twin Bridges, CA 95735"
Mountain Empire Unified School District,no confident match - own pin,"parsed at Pine Valley, CA 91962"
Mountain Gate Community Services District,no confident match - own pin,"parsed at Redding, CA 96003"
Mountain Meadows MWC,no confident match - own pin,"parsed at Mammoth Lakes, CA 93546"
Mountain Summit Mutual Water Co.,no confident match - own pin,"parsed at Los Gatos, CA 95033"
Mountain View Estates Mutual Water Company,no confident match - own pin,"parsed at Bishop, CA 93514"
MT RALSTON PROPERTIES ASSC INC,no confident match - own pin,"parsed at Twin Bridgets, CA 95735"
Muir Beach Community Services District,no confident match - own pin,"parsed at Muir Beach, CA 94965"
Murphy Slough Association,no confident match - own pin,"parsed at Riverdale, CA 93656"
Murphys Sanitary District,matched -> Murphys Sanitary District (CA),"place + governance match (100% overlap), 100% overlap"
Muscoy Mutual Water Company,no confident match - own pin,"parsed at Muscoy, CA 92407"
Musick Heights MWC,no confident match - own pin,"parsed at Fresno, CA 93710"
Mustang Valley Mutual Water Company,no confident match - own pin,"parsed at Grass Valley, CA 95949"
Myoma Dunes Water Company,no confident match - own pin,"parsed at Bermuda Dunes, CA 92203"
Naglee Burk Irrigation District,no confident match - own pin,"parsed at Tracy, CA 95378"
Napa County Public Works LB/NB,no confident match - own pin,"parsed at Napa, CA 94559"
New Auberry Water Association,no confident match - own pin,"parsed at Auberry, CA 93602"
New Jerusalem Drainage District,no confident match - own pin,"parsed at Stockton, CA 95207"
Newell County Water District,no confident match - own pin,"parsed at Tulelake, CA 96134"
Newsom Springs Mutual Water Company,no confident match - own pin,"parsed at Arroyo Grande, CA 93420"
Nipomo Community Services District,matched -> Nipomo Community Services District (CA),"place + governance match (100% overlap), 100% overlap"
Nord Road Water Association,no confident match - own pin,"parsed at Bakersfield, CA 93314"
Norris Canyon Property Owner’s Association,no confident match - own pin,"parsed at Castro Valley, CA 94546"
North Gualala Water Company,no confident match - own pin,"parsed at Gualala, CA 95445"
North Kaweah Mutual Water Company,no confident match - own pin,"parsed at Three Rivers, CA 93271"
North Lone Pine Mutual Water Company,no confident match - own pin,"parsed at Lone Pine, CA 93545"
North Muroc Mutual Water Company (Edgemont Acres Mutual Water Company),no confident match - own pin,"parsed at North Edwards, CA 93523"
North Peak MWC,no confident match - own pin,"parsed at Julian, CA 92036"
North Yuba Water District,no confident match - own pin,"parsed at Brownsville, CA 95919"
Nuevo Water Company,no confident match - own pin,"parsed at Nuevo, CA 92567"
Nyack Water System,no confident match - own pin,"parsed at Emigrant Gap, CA 95715"
Nyeland Acres Mutual Water Co,no confident match - own pin,"parsed at Oxnard, CA 93031"
O’Connor Tract Co-operative Water Company,no confident match - own pin,"parsed at Palo Alto, CA 94302"
Oak Trail Estates MWC,no confident match - own pin,"parsed at Los Olivos, CA 93441"
"Oak Trail Ranch Mutual Water Company, Inc.",no confident match - own pin,"parsed at Santa Ynez, CA 93460"
Oakdale Irrigation District,matched -> Oakdale Irrigation District (CA),"place + governance match (100% overlap), 100% overlap"
"Oakville Pump Service, Inc.",no confident match - own pin,"parsed at Napa, CA 94559"
Oakwood Lake Water District,matched -> Oakwood Lake Water District (CA),"place + governance match (100% overlap), 100% overlap"
Oceano Community Service District,no confident match - own pin,"parsed at Oceano, CA 93475"
Ocotillo Mutual Water Company,no confident match - own pin,"parsed at Ocotillo, CA 92259"
Oildale Mutual Water Company,no confident match - own pin,"parsed at Bakersfield, CA 93308"
Okieville Highland Acres Mutual Water Company,no confident match - own pin,"parsed at Tulare, CA 93275"
Olivehurst Public Utility District,no confident match - own pin,"parsed at Olivehurst, CA 95961"
Olympic Valley Mutual Water Company (Previously Squaw Valley Mutual Water Company),no confident match - own pin,"parsed at Reno, NV 89511"
Olympic Valley Public Service District,matched -> Olympic Valley Public Service District (CA),"place + governance match (100% overlap), 100% overlap"
Orangevale Water Company,no confident match - own pin,"parsed at Orangevale, CA 95662"
Orick Community Services District,no confident match - own pin,"parsed at Orick, CA 95555"
Orland Estates MHP,outside territory (MT),"PO Box 31638, Billings, MT 59107"
Orland Estates MHP,no confident match - own pin,"parsed at Billings, MT 59107"
Orleans Mutual Water Company,no confident match - own pin,"parsed at Orleans, CA 95556"
Orosi Public Utility District,no confident match - own pin,"parsed at Orosi, CA 93647"
Pacific Union College,no confident match - own pin,"parsed at Angwin, CA 94508"
Padre Dam Municipal Water District,no confident match - own pin,"parsed at Santee, CA 92072"
Page Avenue Mutual Water Company,no confident match - own pin,"parsed at Fullerton, CA 92833"
Palm Ranch Irrigation District,no confident match - own pin,"parsed at Quartz Hill, CA 93536"
Palo Alto Park Mutual Water Company,no confident match - own pin,"parsed at East Palo Alto, CA 94303"
Palo Verde County Water District,no confident match - own pin,"parsed at Palo Verde, CA 92266"
Palomar Christian Conference Center,no confident match - own pin,"parsed at Palomar Mountain, CA 92060"
Palomar Mountain Mutual Water Company,no confident match - own pin,"parsed at Palomar Mountain, CA 92060"
Palomino Lakes Mutual Water Company,no confident match - own pin,"parsed at Cloverdale, CA 95425"
Paradise Lake Mutual Water Company,no confident match - own pin,"parsed at Prunedale, CA 93907"
Paradise Ranch Mobile Home Park,no confident match - own pin,"parsed at Castaic, CA 91384"
Park Heights Mutual Water Co.,no confident match - own pin,"parsed at Riverbank, CA 95367"
Partington Ridge MWC,no confident match - own pin,"parsed at Big Sur, CA 93920"
Paskenta Community Services District,no confident match - own pin,"parsed at Paskenta, CA 96074"
Patterson Tract CSD,no confident match - own pin,"parsed at Visalia, CA 93279"
Pauma Band of Mission Indians,no confident match - own pin,"parsed at Pauma Valley, CA 92061"
Pauma Valley Community Services District,matched -> Pauma Valley Community Services District (CA),"place + governance match (100% overlap), 100% overlap"
Pauma Valley Water Company,no confident match - own pin,"parsed at Pauma Valley, CA 92061"
Peach Growers Residents Tract Improvement Association,no confident match - own pin,"parsed at Rodeo, CA 94572"
Phelan Pinon Hills Community Services District,no confident match - own pin,"parsed at Phelan, CA 92329"
Phillipsville C.S.D.,no confident match - own pin,"parsed at Phillipsville, CA 95559"
"Phoenix Lake Country Club Estates MWC, Inc.",no confident match - own pin,"parsed at Sonora, CA 95370"
Pine Cove RV Park,no confident match - own pin,"parsed at Lewiston, CA 96052"
Pine Cove Water District,no confident match - own pin,"parsed at Idyllwild, CA 92549"
Pine Grove Community Services District,no confident match - own pin,"parsed at Pine Grove, CA 95665"
Pine Hills Mutual Water Company,no confident match - own pin,"parsed at Julian, CA 92036"
Pine Mountain Mutual Water Company,no confident match - own pin,"parsed at Willits, CA 95490"
Pine Valley Bible Conference Association,no confident match - own pin,"parsed at Pine Valley, CA 91962"
Pine Valley Mutual Water Company,no confident match - own pin,"parsed at Pine Valley, CA 91962"
Pinecrest Permittees Association,no confident match - own pin,"parsed at Pinecrest, CA 95364"
Pinon Pines Estates Mutual Water Company,no confident match - own pin,"parsed at Frazier Park, CA 93225"
Piute Pump Company,no confident match - own pin,"parsed at Lake Isabella, CA 93240"
Pixley Public Utility District,no confident match - own pin,"parsed at Pixley, CA 93256"
Placer County Department of Public Works,no confident match - own pin,"parsed at Auburn, CA 95603"
Planada Community Service District,no confident match - own pin,"parsed at Planada, CA 95365"
Pleasant Valley Mutual Water Company,no confident match - own pin,"parsed at Camarillo, CA 93010"
Plumas Eureka Community Services District,no confident match - own pin,"parsed at Blairsden, CA 96103"
PODESTA PACKING WATER SYSTEM,no confident match - own pin,"parsed at LINDEN, CA 95236"
