crwa_org,outcome,detail
Blue Lake Springs Mutual Water Company,no confident match - own pin,"parsed at Arnold, CA 95223"
Blue Oak Terrace Mutual Water Co.,no confident match - own pin,"parsed at Paradise, CA 95969"
Bobcat Springs Mutual Water Company,no confident match - own pin,"parsed at Santa Ynez, CA 93460"
"Bodega Water Company, Inc.",no confident match - own pin,"parsed at Bodega, CA 94922"
Bohemian Club,no confident match - own pin,"parsed at Monte Rio, CA 95462"
Boron Community Service District,no confident match - own pin,"parsed at Boron, CA 93596"
Box Springs Mutual Water Company,no confident match - own pin,"parsed at Moreno Valley, CA 92553"
Briceland Community Services District,no confident match - own pin,"parsed at Garberville, CA 95542"
Bridgehaven Water System,no confident match - own pin,"parsed at Sacramento, CA 95818"
Bridgeport Public Utility District,matched -> Bridgeport Public Utility District (CA),"place + governance match (100% overlap), 100% overlap"
Brookside Estates Mutual Water Company,no confident match - own pin,"parsed at Mammoth Lakes, CA 93546"
Brooktrails Township Community Services District,no confident match - own pin,"parsed at Willits, CA 95490"
Brush and Old Well Mutual Water Company,no confident match - own pin,"parsed at Los Gatos, CA 95033"
Buckingham Park Water District,no confident match - own pin,"parsed at Kelseyville, CA 95451"
Bucktail Mutual Water Company,no confident match - own pin,"parsed at Lewiston, CA 96052"
Buena Vista Elementary School,no confident match - own pin,"parsed at Tulare, CA 93274"
Burney Water District,matched -> Burney Water District (CA),"place + governance match (100% overlap), 100% overlap"
Butano Canyon Mutual Water Company,no confident match - own pin,"parsed at Pescadero, CA 94060"
Buttonwillow County Water District,no confident match - own pin,"parsed at Buttonwillow, CA 93206"
BWMR & M Association Mutual Water Company,no confident match - own pin,"parsed at Antioch, CA 94509"
CA State Parks – Channel Coast District,no confident match - own pin,"parsed at Goleta, CA 93117"
Cabazon Water District,no confident match - own pin,"parsed at Cabazon, CA 92230"
Cachagua Mutual Water Company,no confident match - own pin,"parsed at Carmel Valley, CA 93924"
Cachuma Sanitation/Santa Barbara County Parks Dept,no confident match - own pin,"parsed at Santa Barbara, CA 93105"
"Cal Delta Plumbing, Inc.",no confident match - own pin,"parsed at Sacramento, CA 95826"
Calaveras Public Utility District,matched -> Calaveras Public Utility District (CA),"place + governance match (100% overlap), 100% overlap"
California Domestic Water Company,no confident match - own pin,"parsed at Whittier, CA 90603"
"California Drinking Water, LLC",no confident match - own pin,"parsed at Pine Valley, CA 91962"
California Land Management – Palo Alto,no confident match - own pin,"parsed at Phoenix, AZ 85028"
California Pines Community Services District,no confident match - own pin,"parsed at Alturas, CA 96101"
CALLAHAN WATER DISTRICT,no confident match - own pin,"parsed at Callahan, CA 96014"
Callayomi County Water District,no confident match - own pin,"parsed at Middletown, CA 95461"
Camp Old Oak Ranch,no confident match - own pin,"parsed at Sonora, CA 95370"
Camp Sierra Improvement Association,no confident match - own pin,"parsed at Kingsburg, CA 93631"
Campanero Oaks Mutual Water Company,no confident match - own pin,"parsed at California Hot Springs, CA 93207"
Camptonville Community Services District,no confident match - own pin,"parsed at Camptonville, CA 95922"
Canada Woods Water Company,no confident match - own pin,"parsed at Carmel, CA 93922"
Canebrake County Water District,no confident match - own pin,"parsed at La Mesa, CA 91942"
Canyon Meadows Mutual Water Co.,no confident match - own pin,"parsed at Bodfish, CA 93205"
Carmet – by – the – Sea Water Company,no confident match - own pin,"parsed at Bodega Bay, CA 94923"
"Cartago Mutual Water Company, Inc.",no confident match - own pin,"parsed at Bishop, CA 93514"
Caruthers Community Services District,no confident match - own pin,"parsed at Caruthers, CA 93609"
Caspar Beach R.V. Park,no confident match - own pin,"parsed at Mendocino, CA 95460"
Caspar Water Company,no confident match - own pin,"parsed at Caspar, CA 95420"
Cassel Park Water Corp.,no confident match - own pin,"parsed at Cassel, CA 96016"
Cathedral Hills Mutual Water Company,no confident match - own pin,"parsed at Aptos, CA 95003"
Cathedral Wood Mutual Water Company,no confident match - own pin,"parsed at Scotts Valley, CA 95067"
Cayucos Beach Mutual Water Co.,no confident match - own pin,"parsed at Cayucos, CA 93430"
Cayucos Sanitary District,matched -> Cayucos Sanitary District (CA),"place + governance match (100% overlap), 100% overlap"
Cedarville CWD,no confident match - own pin,"parsed at Cedarville, CA 96104"
Center Water Company,no confident match - own pin,"parsed at Lucerne Valley, CA 92356"
Centerville Community Services District,no confident match - own pin,"parsed at Redding, CA 96001"
Central Coast Water Authority,matched -> Central Coast Water Authority (CA),"place + governance match (100% overlap), 100% overlap"
Central Water District,no confident match - own pin,"parsed at Aptos, CA 95001"
Chalfant Valley West MWC,no confident match - own pin,"parsed at Bishop, CA 95315"
CHANNEL ISLANDS NATIONAL PARK,no confident match - own pin,"parsed at Ventura, CA 93001"
"Chapman Ranchos Water Company, Inc",no confident match - own pin,"parsed at Mountain Center, CA 92561"
Chawanakee Unified School District,no confident match - own pin,"parsed at North Fork, CA 93643"
Cherry Lane Trailer Park,no confident match - own pin,"parsed at Stockton, CA 95204"
Cherry Valley Water Company,no confident match - own pin,"parsed at Beaumont, CA 92223"
Chester Public Utility District,no confident match - own pin,"parsed at Chester, CA 96020"
China Peak Mountain Resort,no confident match - own pin,"parsed at Lakeshore, CA 93634"
Chiriaco Summit Water District,no confident match - own pin,"parsed at Chiriaco Summit, CA 92201"
Christian Valley Park CSD,no confident match - own pin,"parsed at Auburn, CA 95604"
Christopher Ranch LLC,no confident match - own pin,"parsed at Gilroy, CA 95020"
City of Alturas,no confident match - own pin,"parsed at Alturas, CA 96101"
City of Anderson,no confident match - own pin,"parsed at Anderson, CA 96007"
City of Antioch,matched -> City of Antioch (CA),"place + governance match (100% overlap), 100% overlap"
City of Arcata,matched -> City of Arcata (CA),"place + governance match (100% overlap), 100% overlap"
City of Avenal,matched -> City of Avenal (CA),"place + governance match (100% overlap), 100% overlap"
City of Banning,matched -> City of Banning (CA),"place + governance match (100% overlap), 100% overlap"
City of Beaumont,matched -> City of Beaumont (CA),"place + governance match (100% overlap), 100% overlap"
City of Biggs,no confident match - own pin,"parsed at Biggs, CA 95917"
City of Bishop,matched -> City of Bishop (CA),"place + governance match (100% overlap), 100% overlap"
City of Blue Lake,no confident match - own pin,"parsed at Blue Lake, CA 95525"
City of Brawley Public Works Department,matched -> City of Brawley (CA),"place + governance match (50% overlap), 50% overlap"
City of Buellton,matched -> City of Buellton (CA),"place + governance match (100% overlap), 100% overlap"
City of Calistoga,no confident match - own pin,"parsed at Calistoga, CA 94515"
City of Ceres,matched -> City of Ceres (CA),"place + governance match (100% overlap), 100% overlap"
City of Chowchilla,matched -> City of Chowchilla (CA),"place + governance match (100% overlap), 100% overlap"
City of Clovis,matched -> City of Clovis (CA),"place + governance match (100% overlap), 100% overlap"
City of Coachella,matched -> City of Coachella (CA),"place + governance match (100% overlap), 100% overlap"
City of Colfax,no confident match - own pin,"parsed at Colfax, CA 95713"
City of Colusa Water Division,no confident match - own pin,"parsed at Colusa, CA 95932"
