named_account,outcome,looks_like_water,looks_like_municipal
CITY & COUNTY OF DENVER,no water match,False,True
CITY & COUNTY OF SAN FRANCISCO,no water match,False,True
CITY OF ANTIOCH,matched,False,True
CITY OF ARVADA RALSTON WATER,no water match,True,True
CITY OF AVONDALE,matched,False,True
CITY OF BAKERSFIELD,no water match,False,True
CITY OF BELLEVUE PURCHASING,no water match,False,True
CITY OF BEND,matched,False,True
CITY OF BEND ADM OFFICES,no water match,False,True
CITY OF BENICIA,matched,False,True
CITY OF BOISE,no water match,False,True
CITY OF BRENTWOOD,matched,False,True
CITY OF BRENTWOOD USA - BRENTWOOD C,no water match,False,True
CITY OF BUCKEYE PUBLIC WORKS,matched,False,True
CITY OF BUTTE-SILVER BOW,no water match,False,True
CITY OF CALEXICO,matched,False,True
CITY OF CASPER,no water match,False,True
CITY OF CERRITOS,matched,False,True
CITY OF CHANDLER,matched,False,True
CITY OF CHANDLER - WATER DEPT.,no water match,True,True
CITY OF CORVALLIS,no water match,False,True
CITY OF DOUGLAS,matched,False,True
CITY OF FLAGSTAFF,matched,False,True
CITY OF FORT COLLINS,no water match,False,True
CITY OF FORT COLLINS UTILITIES,no water match,False,True
CITY OF FRESNO,matched,False,True
CITY OF FRESNO - WASTEWATER MGMT,no water match,True,True
CITY OF FT. COLLINS WWTP,no water match,True,True
CITY OF GILBERT,no water match,False,True
CITY OF GLENDALE - PUBLIC WORKS,no water match,False,True
CITY OF GOODYEAR,matched,False,True
CITY OF HENDERSON,matched,False,True
CITY OF HUNTINGTON BEACH,matched,False,True
CITY OF L.A. DEPT. OF AIRPORT,no water match,False,True
CITY OF LAS VEGAS,matched,False,True
CITY OF LAS VEGAS (ELE),no water match,False,True
CITY OF LONG BEACH WATER DIST,no water match,True,True
CITY OF LOS ANGELES,matched,False,True
CITY OF LOS ANGELES-HARBOR,no water match,False,True
CITY OF LOS ANGELES/ WATER & POWER,no water match,True,True
CITY OF MALIBU,matched,False,True
CITY OF MANTECA,matched,False,True
CITY OF MANTECA USA - MANTECA CA WE,no water match,False,True
CITY OF MERIDIAN,no water match,False,True
CITY OF MESA,matched,False,True
CITY OF MESA FACILITIES MAINTENANCE,no water match,False,True
CITY OF MODESTO,matched,False,True
CITY OF MODESTO WATER QUALITY CNTRL,no water match,True,True
CITY OF NAMPA,no water match,False,True
CITY OF OCEANSIDE WATER TREATMENT,no water match,True,True
CITY OF ORANGE,matched,False,True
CITY OF ORANGE WATER PLANT,no water match,True,True
CITY OF PALO ALTO,matched,False,True
CITY OF PALTO ALTO,no water match,False,True
CITY OF PEORIA,matched,False,True
CITY OF PEORIA - AZ,no water match,False,True
CITY OF PHOENIX,matched,False,True
CITY OF PHOENIX-WATER SERVICES,no water match,True,True
CITY OF PORTLAND,matched,False,True
CITY OF PORTLAND BUREAU-WATER,no water match,True,True
CITY OF PORTLAND WATER BUREAU,no water match,True,True
CITY OF PUEBLO BOARD OF WATER WORKS,no water match,True,True
CITY OF PUYALLUP,matched,False,True
CITY OF REDMOND WASTE WATER,no water match,True,True
CITY OF REEDLEY,no water match,False,True
CITY OF RENO,matched,False,True
CITY OF RIO RANCHO,no water match,False,True
CITY OF RIVERSIDE,matched,False,True
CITY OF RIVERSIDE WATER OPS,no water match,True,True
CITY OF ROSEVILLE,matched,False,True
CITY OF SACRAMENTO,matched,False,True
CITY OF SACRAMENTO (NA),no water match,False,True
CITY OF SAN BERNARDINO WATER DEPT.,no water match,True,True
CITY OF SAN DIEGO,matched,False,True
CITY OF SAN DIEGO PANEL SHOP,no water match,False,True
CITY OF SAN DIEGO WATER/WASTEWATER,no water match,True,True
CITY OF SAN FRANCISCO,no water match,False,True
CITY OF SANTA ANA,matched,False,True
CITY OF SANTA BARBARA,matched,False,True
CITY OF SANTA BARBARA PURCHASING,no water match,False,True
CITY OF SANTA CRUZ,matched,False,True
CITY OF SANTA CRUZ WASTEWATER,no water match,True,True
CITY OF SANTA CRUZ WATER TREATMENT,no water match,True,True
CITY OF SANTA FE,no water match,False,True
CITY OF SANTA FE USA - SANTA FE NM,no water match,False,True
CITY OF SANTA FE WATER DISTRICT,matched,True,True
CITY OF SANTA FE WWT,no water match,False,True
CITY OF SANTA ROSA,no water match,False,True
CITY OF SCOTTSDALE,matched,False,True
CITY OF SCOTTSDALE WATER,no water match,True,True
CITY OF SOUTH SAN FRANCISCO,matched,False,True
CITY OF STAYTON OREGON,no water match,False,True
CITY OF SURPRISE,matched,False,True
CITY OF TEMPE,matched,False,True
CITY OF THORNTON,no water match,False,True
CITY OF TRACY,matched,False,True
CITY OF TWIN FALLS WATER DEPT,no water match,True,True
CITY OF WEST SACRAMENTO,no water match,False,True
CITY OF WESTMINSTER,no water match,False,True
CITY OF WESTMINSTER CO USA   WESTMI,no water match,False,True
CITY OF WESTMINSTER PARKS & REC,no water match,False,True
CLARK COUNTY PUD,no water match,False,True
CLARK COUNTY WATER RECLAMATION,matched,True,True
CLARK COUNTY-NEVADA,no water match,False,True
CLARK PUBLIC UTILITIES,no water match,False,False
CLIMAX MOLYBDENUM COMPANY,no water match,False,False
COACHELLA VALLEY DISTRICT,no water match,False,True
COACHELLA VALLEY WATER DISTRICT,matched,True,True
COALINGA SECURE TREATMENT FACILITY,no water match,False,False
COEUR ROCHESTER GOLD MINE INC.,no water match,False,False
COLLINS PRODUCTS,no water match,False,False
COLUMBIA GRAIN EXPORT TERMINAL,no water match,False,False
COLUMBIA RIVER CARBONATES,no water match,False,False
CONTRA COSTA WATER DISTRICT,matched,True,True
CORNERSTONE DETENTION PRODUCTS INC,no water match,False,False
COUNTY SANITATION,no water match,True,True
COUNTY SANITATION DISTRICT,no water match,True,True
COUNTY SANITATION DISTRICTS OF LA C,no water match,True,True
CROWN CORK & SEAL CO,no water match,False,True
City of Goodyear,no water match,False,True
City of Patterson,matched,False,True
City of Sacramento,no water match,False,True
City of Scottsdale,no water match,False,True
DAIRY FARMERS OF AMERICA,no water match,False,False
DAWN FOODS,no water match,False,False
DELAVAL INC,no water match,False,False
DELTA DIABLO SANITATION,no water match,True,False
DELTA DIABLO SANITATION DIST,matched,True,True
DENISON MINES,no water match,False,False
DENVER WATER,no water match,True,False
DENVER WATER BOARD,no water match,True,True
DEPARTMENT OF WATER & POWER,no water match,True,False
DEPARTMENT OF WATER RESOURCE,no water match,True,False
DEPARTMENT OF WATER RESOURCES,no water match,True,False
DEPT OF WATER & POWER,no water match,True,False
DEPT OF WATER AND POWER,no water match,True,False
DEPT OF WATER RESOURCES,no water match,True,False
DESERT WATER AGENCY,no water match,True,True
DIABLO WATER DISTRICT,matched,True,True
"DMC, INC.",no water match,False,False
DO NOT USE - USE 7602485300,no water match,False,False
DO NOT USE; USE 0000152019,no water match,False,False
DON'T USE - 3M USE 9517373441,no water match,False,False
DRAX LONGVIEW MILL,no water match,False,False
EAST BAY MUNICIPAL UTILITY,no water match,False,False
EAST BAY MUNICIPAL UTILITY DIS,no water match,False,False
EAST BAY MUNICIPAL UTILITY DISTRICT,matched,False,True
EAST VALLEY WATER DISTRICT,matched,True,True
EASTERN MUNICIPAL WATER DISTRICT,matched,True,True
EASTERN MUNICIPAL WATER DISTRICT (E,no water match,True,True
EL PASO WATER,no water match,True,False
EL PASO WATER UTILITIES,no water match,True,False
ELECTRI-TECH,no water match,False,False
ENCINA WASTEWATER AUTHORITY,matched,True,True
ENERGY FUELS,no water match,False,False
"ENERGY LOS ALAMOS OFFICE, UNITED ST",no water match,False,False
ENGLOBAL,no water match,False,False
ENTERPRISE AUTOMATION,no water match,False,False
EP MINERALS,no water match,False,False
EP WATER DISTRICT,no water match,True,True
EPCOR WATER USA INC (EPCOR) - HEADQ,no water match,True,False
EVOQUA WATER TECHNOLOGIES LLC,no water match,True,False
EXCELSIOR MINING CORPORATION,no water match,False,False
FL SMIDTH,no water match,False,False
FL SMIDTH / RAHCO,no water match,False,False
FL SMIDTH/RAHCO,no water match,False,False
FLORENCE COPPER,no water match,False,False
FLORENCE COPPER INC.,no water match,False,False
FLSMIDTH INC,no water match,False,False
FORT LUPTON WASTEWATER TREATMENT,no water match,True,False
FREEPORT MC MORAN COPPER & GOLD,no water match,False,False
FREEPORT MCMORAN BAGDAD INC,no water match,False,False
FREEPORT MCMORAN BAGDAD INC.,no water match,False,False
FREEPORT MCMORAN COPPER & GOLD,no water match,False,False
"FREEPORT MCMORAN, INC.",no water match,False,False
"FREEPORT MCMORAN, INC. - COPPER & G",no water match,False,False
FREEPORT MCMORAN/AJO,no water match,False,False
FREEPORT MCMORAN/SAFFORD,no water match,False,False
FREEPORT MCMORAN/SIERRITA,no water match,False,False
FREEPORT MCMORAN/TYRONE,no water match,False,False
FREEPORT-MCMORAN BAGDAD INC,no water match,False,False
FREEPORT-MCMORAN CLAYPOOL,no water match,False,False
FREEPORT-MCMORAN CLIMAX,no water match,False,False
FREEPORT-MCMORAN COPPER & GOLD,no water match,False,False
FREEPORT-MCMORAN MORENCI INC,no water match,False,False
FREPORT MCMORAN,no water match,False,False
FRERES LUMBER CO,no water match,False,True
FRIESEN FOODS,no water match,False,False
GARDEN GROVE CITY ADM,no water match,False,True
GEM STATE DAIRY SUPPLY,no water match,False,False
GENENTECH,no water match,False,False
GENENTECH INC,no water match,False,False
"GENENTECH, INC",no water match,False,False
GENEVA ROCK PRODUCTS INC,no water match,False,False
GENON,no water match,False,False
GEORGE T HALL,no water match,False,False
GEORGE T HALL COMPANY,no water match,False,False
"GEORGE T. HALL CO., INC.",no water match,False,True
GEORGIA PACIFIC,no water match,False,False
GEORGIA PACIFIC CORP,no water match,False,False
"GEORGIA-PACIFIC - ALBANY , OR - ALB",no water match,False,False
"GEORGIA-PACIFIC - CANBY , OR - CANB",no water match,False,False
"GEORGIA-PACIFIC - CLATSKANIE , OR -",no water match,False,False
"GEORGIA-PACIFIC - COOS BAY , OR - C",no water match,False,False
"GEORGIA-PACIFIC - EUGENE , OR - EUG",no water match,False,False
"GEORGIA-PACIFIC - HALSEY , OR - FJ-",no water match,False,False
"GEORGIA-PACIFIC - PHILOMATH , OR -",no water match,False,False
"GEORGIA-PACIFIC - PORTLAND , OR - C",no water match,False,False
"GEORGIA-PACIFIC - TOLEDO , OR - TOL",no water match,False,False
"GEORGIA-PACIFIC - WHITE CITY , OR -",no water match,False,True
GEORGIA-PACIFIC CORPORATION - CLATS,no water match,False,False
GLACIER NORTHWEST,no water match,False,False
GLENDALE CITY OF,matched,False,True
GLENDALE WATER & POWER,no water match,True,False
GLENDALE WATER AND POWER,no water match,True,False
GLENMOUNT GLOBAL SOLUTIONS,no water match,False,False
GO TEK AUTOMATION,no water match,False,False
GO-TEK AUTOMATION,no water match,False,False
GOLDEN STATE WATER,matched,True,False
GOLDEN STATE WATER CO,no water match,True,True
GOLDEN STATE WATER COMPANY,no water match,True,False
GOLDEN SUNLIGHT MINE,no water match,False,False
GOLETA WATER DISTRICT,matched,True,True
GOODRICH,no water match,False,False
H2E INC,no water match,False,False
HATCH,no water match,False,False
HDR ENGINEERING,no water match,False,False
HEARTHSIDE FOOD SOLUTIONS,no water match,False,False
HEAT & CONTROL INC,no water match,False,False
HECLA MINING CO,no water match,False,True
HELIX WATER DISTRICT,matched,True,True
"HIGH DESERT MILK, INC",no water match,False,False
HILCORP ALASKA,no water match,False,False
HOLLANDIA DAIRY,no water match,False,False
HOOVER DAM DEPARTMENT OF RECLAMATIO,no water match,False,False
HUFFMAN ENGINEERING,no water match,False,False
HYDRO INDUSTRIAL,no water match,False,False
HYPERION PLANT,no water match,False,False
IBM - BOULDER,no water match,False,False
IDAHO LABORATORIES CORP,no water match,False,False
IDAHO NATIONAL LABORATORY,no water match,False,False
IDAHO POWER,no water match,False,False
IDAHO POWER USA - OXBOW OR,no water match,False,False
IEUA,no water match,False,False
IMPERIAL IRRIGATION DIST,no water match,True,True
IMPERIAL IRRIGATION DISTRICT,no water match,True,True
"INDUSTRIAL SYSTEMS, INC",no water match,False,False
INLAND EMPIRE UTILITIES AGENCY,matched,False,True
INTERMOUNTAIN POWER SERVICE CORP,no water match,False,False
INTERSTATES CONSTRUCTION,no water match,False,False
INTUITECH,no water match,False,False
IRVINE RANCH WATER DIST,matched,True,True
IRVINE RANCH WATER DIST/ ELEC,no water match,True,True
Interstates - Fort Collins,no water match,False,False
J G Boswell Co.,no water match,False,True
J R SIMPLOT CO,no water match,False,True
J.M. SMUCKER LLC,no water match,False,False
J.R. SIMPLOT,no water match,False,False
J.R. SIMPLOT COMPANY,no water match,False,False
JAMES HARDIE  BUILDING PRODUCTS,no water match,False,False
JBT FOODTECH,no water match,False,False
JCI-GWS AGILENT WEST,no water match,False,False
JELD-WEN MILLWORK MANUFACTURING,no water match,False,False
JELD-WEN PAYROLL,no water match,False,False
JELDWEN BEND DIVISION,no water match,False,False
JERVOIS MINING,no water match,False,False
JERVOIS:ID COBALT OPERATION EPCM,no water match,True,True
JG Boswell,no water match,False,False
JORDAN VALLEY WATER,no water match,True,False
JR SIMPLOT,no water match,False,False
JR SIMPLOT COMPANY,no water match,False,False
JR SIMPLOT CORPORATE,no water match,False,False
Jordan Valley Water,no water match,True,False
KAISER ALUM,no water match,False,False
KALAMA CHEMICAL INC,no water match,False,False
KELLOGG COMPANY,no water match,False,False
KENNECOTT CORP,no water match,False,False
KENNECOTT UTAH COOPER LLC,no water match,False,False
KENNECOTT UTAH COPPER,no water match,False,False
KENNECOTT UTAH COPPER LLC,no water match,False,False
KOCH MEMBRANE SYSTEMS,no water match,False,False
"KRAFT HEINZ SAN DIEGO, CA",no water match,False,False
LA COUNTY DEPT. OF PUBLIC WORKS,no water match,False,True
LA COUNTY SANITATION DISTRICT,no water match,True,True
LA DEPARTMENT OF WATER AND POWER,no water match,True,False
LA DEPT OF WATER & POWER,no water match,True,False
LA INTERNATIONAL AIRPORT,no water match,False,False
LADWD WATER ELECTRIC CONTRUCTION,no water match,True,False
LADWP,no water match,False,False
LADWP WATER ELECTRIC ENGINEER SUP,no water match,True,False
LADWP WATER ELECTRICAL REPAIR SHOP,no water match,True,False
LADWP WATER SYSTEMS ELECTRONIC SHOP,no water match,True,False
LAFARGE,no water match,False,False
LAFARGE CEMENT,no water match,False,False
LAFARGE CORPORATION,no water match,False,False
LAFARGE NORTH AMERICA,no water match,False,False
LAMB WESTON INC,no water match,False,False
LAS VEGAS VALLEY WATER DIST,matched,True,True
LAS VEGAS VALLEY WATER DISTRICT,no water match,True,True
LAS VIRGENES MUNICIPAL WATER DIST,matched,True,True
LAS VIRGENES WATER DISTRICT,no water match,True,True
LAWRENCE LIVERMORE NATIONAL LAB,no water match,False,False
LAWRENCE LIVERMORE NATIONAL LABORAT,no water match,False,False
LAWRENCE LIVERMORE NATIONAL LABS,no water match,False,False
LBWD - USE 5625702429,no water match,False,False
LEHIGH CEMENT CO LLC,no water match,False,True
LEPRINO FOODS,no water match,False,False
LEPRINO FOODS - MAIN PLANT,no water match,False,False
LEPRINO FOODS CO,no water match,False,True
LINDE ELECTRONICS & SPECIALTY GASES,no water match,False,False
LITHIUM NEVADA CORPORATION,no water match,False,False
"LOGICAL SYSTEMS, INC.",no water match,False,False
LONG BEACH WATER DEPARTMENT,no water match,True,False
LOS ALAMOS NATIONAL LABORATORY,no water match,False,False
LOS ALAMOS NATIONAL LABS,no water match,False,False
LOS ANGELES COUNTY SANITATION DISTR,no water match,True,True
LOS ANGELES INTERNATIONAL AIRPORT,no water match,False,False
LUCKY FRIDAY MINE,no water match,False,False
Lonza,no water match,False,False
M3 ENGINEERING & TECHNOLOGY,no water match,False,False
M3 ENGINEERING AND TECHNOLOGY,no water match,False,False
MANTECA WATER DIV,no water match,True,False
MARIN MUNCIPAL WATER DISTRICT,no water match,True,True
MARIN MUNICIPAL WATER DISTRICT,matched,True,True
