named_account,outcome,looks_like_water,looks_like_municipal
SAN GABRIEL VALLEY MUNICIPAL WATER,no water match,True,False
SAN JOSE WATER,no water match,True,False
SAN JOSE WATER CO,no water match,True,True
SANDIA NATIONAL LABORATORIES,no water match,False,False
SANDIA NATIONAL LABS,no water match,False,False
SANITATION DISTRICTS OF LA,no water match,True,False
SANITATION DISTRICTS-LA COUNTY,no water match,True,True
SANTA CLARA VALLEY WATER DISTRICT,matched,True,True
SANTAN VISTAWATER TREATMENT PLANT,no water match,False,False
SCE VIA TRIMAX,no water match,False,False
SCHNITZER STEEL INDUSTRIES INC,no water match,False,False
SCHREIBER FOODS,no water match,False,False
"SCHREIBER FOODS, INC.",no water match,False,False
SEATTLE CITY LIGHT,no water match,False,True
SEATTLE CITY LIGHT DEPT,no water match,False,True
SEATTLE PUBLIC UTILITIES,no water match,False,False
SELMET INC.,no water match,False,False
SHAMROCK FOODS CO,no water match,False,True
SHAMROCK FOODS CO.,no water match,False,True
SHEARER'S SNACK FOODS,no water match,False,False
SIMPLOT,no water match,False,False
SIMPLOT FOOD,no water match,False,False
SIMPLOT PHOSPHATES,no water match,False,False
SIMPLOT PHOSPHATES LLC,no water match,False,False
SIMPLOT USA - POCATELLO ID,no water match,True,True
SIMPLOT USA - SODA SPRINGS ID,no water match,True,True
SKM,no water match,False,False
SKM (AQUA ENGINEERING),no water match,False,False
SKM (SLC CORP PROJECT),no water match,False,False
SKM ENGINEERING,no water match,False,False
SNC LAVALAN,no water match,False,False
SNC LAVALIN,no water match,False,False
SOFFA ELECTRIC,no water match,False,False
SOLAR GRADE SILICON,no water match,False,False
SOLDIER CANYON FILTER PLANT,no water match,False,False
SOLDIER CANYON WATER TREATMENT,no water match,True,False
SOUTH 32 HERMOSA MINE,no water match,False,False
SOUTH COAST WATER,no water match,True,False
SOUTH COAST WATER DISTRICT,matched,True,True
SOUTH DAVIS SEWER DISTRICT,no water match,True,True
SOUTH ORANGE COUNTY WASTE AUTHORITY,no water match,False,True
SOUTH ORANGE COUNTY WASTEWATER AUTH,matched,True,True
SOUTHEASTERN COLORADO WATER CONSERV,no water match,True,False
SOUTHERN CALIFORNIA EDISON,no water match,False,False
SOUTHERN CALIFORNIA EDISON CO.,no water match,False,True
SOUTHERN CALIFORNIA WATER COMPANY,no water match,True,False
SOUTHERN NEVADA WATER AUTHORITY,matched,True,True
SPECIALTY MINERALS INC,no water match,False,False
STARBUCKS,no water match,False,False
STATCO DSI PROCESS SYSTEMS,no water match,False,False
STATES INDUSTRIES INC.,no water match,False,False
STREMICKS HERITAGE FOODS,no water match,False,False
SUEZ NORTH AMERICA USA,no water match,False,False
SUNPOWER,no water match,False,False
SUNPOWER CO.,no water match,False,True
SUNPOWER CORP,no water match,False,False
SUNPOWER CORPORATION,no water match,False,False
SUPERTEK X AUTOMATION,no water match,False,False
SWEETWATER AUTHORITY,matched,False,True
SWEETWATER AUTHORITY HEADQUARTERS,no water match,False,True
SWIFT & COMPANY-GREELEY BEEF,no water match,False,False
SYSTEMS ENGINEERING GROUP,no water match,False,False
Sacramento Regional County Sanitation District,no water match,True,True
Stellar Technology & Automation,no water match,False,False
TAKEDA PHARMACEUTICALS INC.,no water match,False,False
TAURUS CONTROL,no water match,False,False
TAURUS POWER & CONTROLS INC,no water match,False,False
TCI INC,no water match,False,False
TECHNICAL SYSTEM INC,no water match,False,False
TECHNICAL SYSTEMS INC,no water match,False,False
TECHNICAL SYSTEMS INC(SCVWD PROJ),no water match,False,False
TECK COMINCO,no water match,False,False
TEKNOR APEX,no water match,False,False
TELSTAR,no water match,False,False
TELSTAR INSTRUMENTS,no water match,False,False
TELSTAR INSTRUMENTS INC,no water match,False,False
TEMCO,no water match,False,False
TESCO CONTROLS INC,no water match,False,False
TESCO INC,no water match,False,False
"TESLA MOTORS, INC - FACTORY",no water match,False,False
TETRA TECH,no water match,False,False
THATCHER COMPANY,no water match,False,False
TI SQUARED TECHNOLOGIES,no water match,False,False
TILLAMOOK COUNTY CREAM. ASSOC,no water match,False,True
TIMBER LINE ELECTRIC AND CONTROLS,no water match,False,False
TIMBER PRODUCTS,no water match,False,False
TLD - TREX LUMBER DECKING,no water match,False,False
"TM PROCESS & CONTROLS, INC",no water match,False,False
TOK,no water match,False,False
TOKYO OHKA KOGYO AMERICA INC,no water match,False,False
TOWN OF CAVE CREEK,matched,False,True
TOWN OF GILBERT,matched,False,True
TOWN OF QUEEN CREEK,matched,False,True
TRABUCO CANYON WATER DISTRICT USA -,no water match,True,True
TREE TOP/ SABROSO CO,no water match,False,True
TREX,no water match,False,False
TRIMAX SYSTEM INC,no water match,False,False
TRUCKEE DONNER PUBLIC UTILITY,no water match,False,False
TRUCKEE DONNER PUBLIC UTILITY DISTR,matched,False,True
TRUCKEE MEADOWS WATER AUTHORITY,matched,True,True
TRUCKEE MEADOWS WATER AUTORITY,no water match,True,False
TRUCKEE-DONNER PUD,no water match,False,True
"TRUE NORTH SOLUTIONS, LP",no water match,False,False
TUALATIN VALLEY WATER DISTRICT / WI,no water match,True,True
"TUSTIN, CITY OF",no water match,False,True
Town of Castle Rock,no water match,False,True
U. S. DEPT. OF INTERIOR,no water match,False,False
U.S. BORAX,no water match,False,False
US GYPSUM,no water match,False,False
US GYPSUM CO,no water match,False,True
US MAGNESIUM,no water match,False,False
US NAVY,no water match,False,False
UTAH DEPARTMENT OF WATER RESOURCES,no water match,True,False
UTAH VALLEY WATER TREATMENT PLT,no water match,True,False
UTC AEROSPACE SYSTEMS,no water match,False,False
UW WEST BASIN,no water match,False,False
VALLEJO SANITATION & FLOOD CONTROL,no water match,True,False
VEOLIA WATER NA - WILSONVILLE,no water match,True,False
VERUS ASSOCIATED,no water match,False,False
VERUS ASSOCIATES INC,no water match,False,False
Vertech Industrial Systems,no water match,False,False
"W.M. Lyles Co. (Aka AIC, Advanced Integration and Controls)",no water match,False,True
WAFERTECH,no water match,False,False
WATER REPLENISHMENT DIST OF SO CAL,no water match,True,True
WATER REPLENISHMENT DISTRICT OF SOU,no water match,True,True
WEBER METALS INC,no water match,False,False
WEST BASIN,no water match,False,False
WEST BASIN MUNICIPAL WATER DISTRICT,matched,True,True
WESTECH ENGINEERING INC,no water match,False,False
WESTERN MILLING,no water match,False,False
WESTERN MUNICIPAL WATER DIST,matched,True,True
WESTERN SUGAR COOPERATIVE,no water match,False,False
WESTROCK,no water match,False,False
WEYERHAEUSER CO,no water match,False,True
WL PORTLAND SYSTEMS INC.,no water match,False,False
WOLVERINE FUELS,no water match,False,False
WUNDERLICH MALEC,no water match,False,False
WUNDERLICH MALEC ENGINEERING,no water match,False,False
WUNDERLICH-MALEC,no water match,False,False
WUNDERLICH-MALEC ENGINEERING,no water match,False,False
"WUNDERLICH-MALEC SYSTEMS, INC.",no water match,False,False
YORBA LINDA WATER DISTRICT,matched,True,True
ZONE 7 WATER AGENCY,matched,True,True
